SrcAddr,n_flows,botnet_flows,normal_flows,bg_flows,n_dst_ips,n_dst_ports,n_src_ports,n_protocols,total_bytes,total_pkts,mean_dur,std_dur,label
1.112.136.153,1,0,0,1,1,1,1,1,73,1,0.0,,Background
1.112.72.190,1,0,0,1,1,1,1,1,77,1,0.0,,Background
1.113.55.185,1,0,0,1,1,1,1,1,73,1,0.0,,Background
1.114.56.199,1,0,0,1,1,1,1,1,144,2,2.175,,Background
1.153.106.162,1,0,0,1,1,1,1,1,76,1,0.0,,Background
1.160.128.184,1,0,0,1,1,1,1,1,60,1,0.0,,Background
1.160.131.128,1,0,0,1,1,1,1,1,60,1,0.0,,Background
1.160.135.1,5,0,0,5,1,1,1,1,2508,5,0.0,0.0,Background
1.160.24.95,1,0,0,1,1,1,1,1,481,1,0.0,,Background
1.161.138.70,2,0,0,2,1,1,1,1,120,2,0.0,0.0,Background
1.168.136.212,1,0,0,1,1,1,1,1,75,1,0.0,,Background
1.168.193.115,1,0,0,1,1,1,1,1,60,1,0.0,,Background
1.168.203.10,2,0,0,2,1,1,1,1,120,2,0.0,0.0,Background
1.169.170.124,1,0,0,1,1,1,1,1,60,1,0.0,,Background
1.169.174.106,1,0,0,1,1,1,1,1,62,1,0.0,,Background
1.169.182.64,6,0,0,6,3,3,1,1,926,8,0.0105,0.02571964229922337,Background
1.169.184.134,1,0,0,1,1,1,1,1,60,1,0.0,,Background
1.169.190.98,1,0,0,1,1,1,1,1,60,1,0.0,,Background
1.169.2.184,1,0,0,1,1,1,1,1,73,1,0.0,,Background
1.169.2.203,1,0,0,1,1,1,1,1,60,1,0.0,,Background
1.169.217.36,1,0,0,1,1,1,1,1,60,1,0.0,,Background
1.170.132.158,1,0,0,1,1,1,1,1,68,1,0.0,,Background
1.170.132.94,1,0,0,1,1,1,1,1,60,1,0.0,,Background
1.170.143.58,1,0,0,1,1,1,1,1,73,1,0.0,,Background
1.170.151.98,3,0,0,3,1,1,1,1,225,3,0.0,0.0,Background
1.171.107.97,2,0,0,2,1,1,1,1,198,3,1.4915,2.1092995282794713,Background
1.171.114.123,1,0,0,1,1,1,1,1,121,1,0.0,,Background
1.171.192.99,1,0,0,1,1,1,1,1,60,1,0.0,,Background
1.172.3.41,1,0,0,1,1,1,1,1,73,1,0.0,,Background
1.172.9.252,19,0,0,19,1,1,1,1,4473,28,0.0,0.0,Background
1.173.167.189,1,0,0,1,1,1,1,1,2945,3,0.0,,Background
1.173.24.84,1,0,0,1,1,1,1,1,74,1,0.0,,Background
1.173.28.47,1,0,0,1,1,1,1,1,72,1,0.0,,Background
1.174.13.85,1,0,0,1,1,1,1,1,60,1,0.0,,Background
1.174.133.29,1,0,0,1,1,1,1,1,60,1,0.0,,Background
1.175.128.119,1,0,0,1,1,1,1,1,60,1,0.0,,Background
1.175.132.182,1,0,0,1,1,1,1,1,77,1,0.0,,Background
1.175.79.132,1,0,0,1,1,1,1,1,60,1,0.0,,Background
1.192.97.37,1,0,0,1,1,1,1,1,72,1,0.0,,Background
1.224.156.171,2,0,0,2,1,1,1,1,186,3,1.5045,2.1276843045903213,Background
1.230.123.170,3,0,0,3,1,1,1,1,284,4,0.8813333333333334,1.5265141117373706,Background
1.230.130.39,1,0,0,1,1,1,1,1,73,1,0.0,,Background
1.242.18.118,2,0,0,2,1,1,1,1,519,2,0.0,0.0,Background
1.33.253.74,1,0,0,1,1,1,1,1,458,1,0.0,,Background
1.36.137.133,1,0,0,1,1,1,1,1,79,1,0.0,,Background
1.36.41.76,2,0,0,2,1,1,1,1,120,2,0.0,0.0,Background
1.38.54.172,4,0,0,4,1,1,1,1,385,5,0.48825,0.9765,Background
1.46.205.228,4,0,0,4,1,2,2,1,1727,21,1.7255,1.603511667143918,Background
1.52.32.27,1,0,0,1,1,1,1,1,72,1,0.0,,Background
1.53.166.228,1,0,0,1,1,1,1,1,73,1,0.0,,Background
1.53.29.252,3,0,0,3,1,1,3,1,219,3,0.0,0.0,Background
1.54.21.191,1,0,0,1,1,1,1,1,73,1,0.0,,Background
1.54.27.200,1,0,0,1,1,1,1,1,75,1,0.0,,Background
1.55.127.211,1,0,0,1,1,1,1,1,75,1,0.0,,Background
1.55.92.254,2,0,0,2,1,1,2,1,150,2,0.0,0.0,Background
1.64.137.191,2,0,0,2,1,1,1,1,158,2,0.0,0.0,Background
1.64.152.170,1,0,0,1,1,1,1,1,74,1,0.0,,Background
1.66.100.177,3,0,0,3,1,1,1,1,1407,3,0.0,0.0,Background
